EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TAGS_INFRASTRUCTURE
UKR151909,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine),External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Kirovskyi,47.968,37.548,1,DPR Armed Forces Press Service,Other,"On 9 March 2024, Ukrainian forces launched missiles at DPR positions in Donetsk - Kirovskyi. A private house was damaged. 3 civilians were injured.",0,,Residential
UKR151926,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.656,32.618,1,Ministry of Defence of Ukraine,Other,"On 9 March 2024, Russian air forces dropped a guided bomb hitting a five-story residential building in Kherson (Kherson region) and injuring a 7-year-old child. Russian forces also shelled Kherson.",0,,Residential
UKR151962,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Donetsk,Volnovaskyi,Vuhledarska,Novoukrainka,47.837,37.105,1,Suspilne Media,National,"On 9 March 2024, Russian forces fired artillery at Novoukrainka, Donetsk. Private houses were damaged. Casualties unknown.",0,,Residential
UKR151963,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Mykolaiv,Mykolaivskyi,Ochakivska,Ochakiv,46.613,31.55,1,Suspilne Media,National,"On 9 March 2024, Russian forces fired artillery at Ochakiv, Mykolaiv. Private houses were damaged. Casualties unknown.",0,,Residential
UKR152003,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Donetsk,Bakhmutskyi,Toretska,Toretsk,48.393,37.845,1,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 9 March 2024, Russian forces carried out drone strikes and fired artillery at Toretsk, Donetsk. Private houses were damaged. Casualties unknown.",0,,Residential
UKR152006,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Pokrovskyi,Selydivska,Ukrainsk,48.095,37.359,1,Novoye Vremya Ukraine,National,"On 9 March 2024, Russian forces shelled Ukrainsk, Donetsk. 6 private houses were damaged. 1 civilian was injured.",0,,Residential
UKR175601,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Yunakivska,Kyianytsia,51.07,34.91,1,Ministry of Defence of Ukraine,Other,"On 9 March 2024, Russian forces carried out airstrikes at Kyianytsia, Sumy. 15 private houses were damaged. 1 civilian was wounded.",0,,Residential
UKR169807,2024-03-08,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Donetsk,Pokrovskyi,Myrnohradska,Myrnohrad,48.296,37.27,1,Centre for Information Resilience,New media,"On 8 March 2024, Russian forces shelled and damaged a medical facility in Myrnohrad, Donetsk region. Casualties unknown.",0,,Health
UKR169808,2024-03-08,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Donetsk,Pokrovskyi,Shakhivska,Shakhove,48.46,37.351,1,Centre for Information Resilience,New media,"On 8 March 2024, Russian forces shelled and damaged a school building in Shakhove, Donetsk region. Casualties unknown.",0,,Education
UKR151562,2024-03-08,2024,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Orlivka,48.164,37.645,1,Centre for Information Resilience; Institute for the Study of War; Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-New media,"On 8 March 2024, Russian and Ukrainian forces clashed in Orlivka, Donetsk. Ukrainian forces shelled a suspected Russian-occupied school building in Orlivka. According to Russian sources, up to 450 Ukrainian servicemen were killed near Ocheretino, Novoselivka Persha, Toretsk, Novhrodivka, Druzhba, Shumy, Berdychi, Tonenke, Pervomayske, Orlivka, Petrovskoye, and Sieverne. [Russian MoD reported 450 Ukrainian fatalities. Coded as 10 fatalities split across 12 events. 1 fatality coded to this event].",1,,Education
